he	M S
his	M S
him	M S
himself	M S
she	F S
her	F S
herself	F S
you	N S
your	N S
yourself	N S
i	N S
me	N S
my	N S
myself	N S
we	N P
us	N P
our	N P
ourself	N P
they	N P
them	N P
their	N P
themselves	N P
it	N S
its	N S
itself	N S
